,county,TOTAL DOLLAR AMOUNT OF CLAIMS
168,Delaware,1759161.19
169,Porter,2267960.17
170,Parke,23845652.23
171,Clay,23845652.23
172,Vigo,23845652.23
173,Jennings,37957365.53
174,Vigo,134106.17
175,Allen,34296638.97
176,Vermillion,1026066.92
177,Wabash,5222298.31
178,Grant,5222298.31
179,Huntington,5222298.31
180,Marion,12095636.59
181,Hendricks,12095636.59
182,Johnson,518023.99
183,Shelby,518023.99
184,Hendricks,507221.05
185,Ripley,11503991.02
186,Franklin,11503991.02
187,Brown,32654328.0
188,Monroe,32654328.0
189,Boone,1256598.69
190,Union,7135942.0
191,Franklin,7135942.0
192,Monroe,19555344.1
193,Owen,19555344.1
194,Bartholomew,248189.3
195,Decatur,248189.3
196,Dubois,6220894.61
197,Warrick,6220894.61
198,Spencer,6220894.61
199,Fountain,2200582.39
200,Posey,11060729.76
201,Crawford,840595.44
202,Rush,1776539.49
203,Hancock,1776539.49
204,Crawford,3383221.57
205,Orange,3383221.57
206,Perry,448460.1
207,LaGrange,1266126.85
208,Noble,1266126.85
209,Elkhart,3726972.98
210,Kosciusko,3726972.98
211,Marion,68623882.84
212,Marion,17163619.14
213,Miami,52836919.18
214,Howard,52836919.18
215,Clay,1052243.78
216,Jennings,355944.68
217,Elkhart,33338305.96
218,Ripley,418757.98
219,Switzerland,418757.98
220,Jefferson,418757.98
221,Shelby,52722367.83
222,Marion,44128136.52
223,Jefferson,7864093.54
224,Harrison,591556.72
225,DeKalb,7527293.65
226,Dearborn,3278666.24
227,Franklin,3278666.24
228,Ripley,3011876.63
229,Dearborn,3011876.63
230,Franklin,3011876.63
231,Vanderburgh,27468049.34
232,Clay,797786.67
233,Owen,797786.67
234,Orange,1778448.97
235,Washington,1016603.59
236,Harrison,1016603.59
237,Boone,19155785.83
238,Hendricks,19155785.83
239,Ripley,1084837.64
240,Marion,83733755.55
241,Perry,66085.4
242,Owen,1378869.71
243,Posey,811787.06
244,Vanderburgh,811787.06
245,Switzerland,7004586.46
246,Jefferson,7004586.46
247,Vanderburgh,33800551.1
248,Brown,2370763.32
249,Johnson,2370763.32
250,Rush,732398.11
251,Rush,3367980.89
252,Shelby,3367980.89
253,Marion,17655725.24
254,Hendricks,17655725.24
255,Randolph,1454134.04
256,Delaware,1454134.04
257,Wayne,1454134.04
258,Henry,1454134.04
259,LaPorte,40614052.65
260,Scott,1753786.62
261,Jennings,1753786.62
262,Jefferson,1753786.62
263,Vigo,194575.95
264,Daviess,1176314.49
265,Marion,11430301.01
266,Rush,3286736.89
267,Henry,3286736.89
268,Marion,57184813.94
269,Perry,884901.19
270,Crawford,884901.19
271,Dubois,884901.19
272,Daviess,4479678.22
273,Knox,857501.42
274,Allen,2385020.95
275,Adams,2385020.95
276,Allen,43857116.57
277,Benton,765213.31
278,Warren,765213.31
279,Grant,10811325.36
280,Marion,18902335.42
281,Lake,7480967.57
282,Crawford,123088.85
283,Elkhart,4514212.81
284,St. Joseph,4514212.81
285,Shelby,4625571.45
286,Hancock,4625571.45
287,Elkhart,46168584.59
288,Grant,2386235.4
289,LaGrange,6604932.15
290,Noble,6604932.15
291,Elkhart,6604932.15
292,Rush,629830.3
293,Fayette,629830.3
294,St. Joseph,1314759.44
295,Marshall,1314759.44
296,Lake,7661500.42
297,DeKalb,1212353.93
298,Steuben,1212353.93
299,Porter,13968393.14
300,Lake,13968393.14
301,Orange,5157647.1
302,Knox,5623162.71
303,Switzerland,1206050.43
304,Allen,969496.65
305,Wells,969496.65
306,Daviess,601953.54
307,Marion,1686457.82
308,LaPorte,2438736.18
309,St. Joseph,2438736.18
310,Dearborn,8133564.81
311,Franklin,8133564.81
312,Ripley,5237019.54
313,Allen,375486.24
314,St. Joseph,14308969.0
315,White,546378.62
316,Marion,68463528.54
317,Pulaski,1004328.8
318,Fulton,1004328.8
319,Perry,255626.62
320,Spencer,255626.62
321,Morgan,1753772.18
322,Boone,13554614.36
323,Clinton,13554614.36
324,Hamilton,13554614.36
325,St. Joseph,21478534.18
326,Warren,640694.77
327,Madison,49588641.68
328,Marion,19623484.27
329,Noble,669788.02
330,Posey,420914.59
331,Jennings,1572076.61
332,Newton,10598974.44
333,Jasper,10598974.44
334,White,10598974.44
335,Putnam,21633437.72
336,Blackford,4688519.94
337,Grant,4688519.94
338,Monroe,16164686.23
339,Owen,16164686.23
340,Lake,10807980.18
341,Carroll,1789842.26
342,White,1789842.26
343,Warrick,24510924.77
344,LaPorte,613528.72
345,Allen,27188442.26
346,Franklin,955414.69
347,Gibson,836372.42
348,Vermillion,5719024.06
349,Warren,5719024.06
350,Fountain,5719024.06
351,White,163158.02
352,Carroll,2021073.93
353,Clinton,2021073.93
354,Tipton,2021073.93
355,Howard,2021073.93
356,Greene,2240113.7
357,Daviess,111474.01
358,Wabash,889150.29
359,Miami,889150.29
360,Carroll,605057.63
361,White,605057.63
362,Putnam,2190306.45
363,Allen,7378305.35
364,Morgan,21355059.12
365,Hendricks,21355059.12
366,Vermillion,16447689.96
367,Vigo,16447689.96
368,Delaware,199568.05
369,Putnam,801732.58
370,Newton,942253.35
371,Jasper,942253.35
372,Lake,7508318.36
373,Clinton,129083.77
374,Randolph,4321811.81
375,Delaware,4321811.81
376,Randolph,540801.61
377,Johnson,3927784.52
378,Shelby,3927784.52
379,Marion,3927784.52
380,Blackford,4403017.19
381,Delaware,4403017.19
382,Jay,4403017.19
383,Allen,12716531.18
384,Porter,35779836.5
385,Lake,35779836.5
386,Morgan,12318639.22
387,Marion,12318639.22
388,Hendricks,12318639.22
389,Wabash,1327452.25
390,Miami,1327452.25
391,Grant,1327452.25
392,Howard,1327452.25
393,Fountain,527257.69
394,Vermillion,362946.85
395,Howard,3526193.22
396,Benton,1116169.9
397,Newton,1116169.9
398,Jasper,1116169.9
399,Lake,10801822.59
400,Hamilton,2009769.22
401,LaGrange,1228503.06
402,Steuben,1228503.06
403,Wabash,1103770.87
404,Rush,463184.42
405,Porter,14070917.39
406,Blackford,2347379.52
407,Wells,2347379.52
408,Jay,2347379.52
409,Monroe,35112201.85
410,Porter,51250180.41
411,Tipton,1215654.71
412,Wells,284468.9
413,Porter,4886687.25
414,LaPorte,4886687.25
415,Monroe,837884.51
416,Lawrence,837884.51
417,Jackson,837884.51
418,Rush,192490.83
419,Fayette,192490.83
420,Jasper,856464.95
421,White,856464.95
422,Newton,1307308.99
423,Ripley,2760141.12
424,Dearborn,2760141.12
425,St. Joseph,28424094.91
426,Kosciusko,8191478.18
427,St. Joseph,8191478.18
428,Marshall,8191478.18
429,Kosciusko,3610996.72
430,Jay,16336076.97
431,Grant,43691475.48
432,Lake,19830981.9
433,Benton,1159789.16
434,Warren,1159789.16
435,Tippecanoe,1159789.16
436,White,1159789.16
437,Elkhart,7104627.42
438,St. Joseph,7104627.42
439,Madison,5017724.05
440,Hancock,5017724.05
441,Hamilton,5017724.05
442,Delaware,11911889.58
443,Elkhart,7129388.72
444,Kosciusko,7129388.72
445,Ohio,525319.46
446,Switzerland,525319.46
447,Wabash,1762788.12
448,Huntington,1762788.12
449,Crawford,172049.34
450,Wayne,941720.16
451,Perry,4394817.94
452,Crawford,4394817.94
453,Orange,4394817.94
454,Delaware,4793446.16
455,Benton,1039539.66
456,Jasper,1039539.66
457,Allen,18764967.18
458,DeKalb,18764967.18
459,Elkhart,8934821.08
460,Blackford,2570829.17
461,Delaware,2570829.17
462,Greene,17519445.08
463,Vigo,30740504.11
464,Crawford,1857546.71
465,Washington,1857546.71
466,Franklin,4752781.57
467,Fayette,4752781.57
468,Vanderburgh,14716500.59
469,Harrison,4229121.57
470,Floyd,4229121.57
471,Marion,43392188.47
472,Crawford,508429.93
473,Clinton,573344.63
474,Tippecanoe,573344.63
475,Lake,10995886.11
476,Harrison,1773637.76
477,Floyd,1773637.76
478,Rush,4662569.38
479,Shelby,4662569.38
480,Hancock,4662569.38
481,Kosciusko,28991559.89
482,Noble,22535727.39
483,Whitley,22535727.39
484,Posey,866408.15
485,Randolph,1190711.53
486,Jay,1190711.53
487,Lake,12088341.66
488,Johnson,32774094.39
489,Marion,32397505.15
490,Steuben,858715.15
491,Brown,660650.77
492,Monroe,660650.77
493,LaGrange,1092277.13
494,Elkhart,1092277.13
495,St. Joseph,15510139.68
496,Elkhart,858433.4
497,Kosciusko,186409.61
498,Spencer,103526.85
499,Montgomery,337752.74
500,Tippecanoe,337752.74
501,Marion,53266214.14
502,Kosciusko,1559078.35
503,Washington,1707501.14
504,Orange,1707501.14
505,Harrison,1707501.14
506,Allen,1117404.95
507,DeKalb,1117404.95
508,Kosciusko,2615403.17
509,Whitley,2615403.17
510,Wayne,356979.28
511,Pike,18730972.98
512,Dubois,18730972.98
513,Marion,22441434.48
514,Dubois,187440.71
515,Ripley,27593409.46
516,Switzerland,27593409.46
517,Jefferson,27593409.46
518,Orange,14270910.35
519,Monroe,937450.05
520,Lawrence,937450.05
521,Johnson,36809742.42
522,Shelby,36809742.42
523,Kosciusko,9435743.0
524,Knox,2093437.99
525,Ripley,26987796.96
526,Decatur,26987796.96
527,Franklin,26987796.96
528,Porter,52764139.67
529,LaPorte,52764139.67
530,Rush,1044318.52
531,Shelby,1044318.52
532,Pike,882361.21
533,Dubois,882361.21
534,Allen,5198794.6
535,Bartholomew,2793249.85
536,Jennings,2793249.85
537,Porter,1225983.64
538,LaPorte,1225983.64
539,Starke,1225983.64
540,Madison,1259846.35
541,Allen,1330254.08
542,Brown,3065427.18
543,Johnson,3065427.18
544,Marion,13866701.51
545,Harrison,849144.98
546,Allen,19005541.48
547,Greene,327577.57
548,St. Joseph,25345766.38
549,LaPorte,6421940.46
550,Starke,6421940.46
551,St. Joseph,6421940.46
552,Marshall,6421940.46
553,Marion,64752802.11
554,Wabash,252388.28
555,Perry,305059.9
556,Kosciusko,1594345.88
557,Marshall,1594345.88
558,Delaware,7306976.44
559,Madison,7306976.44
560,Henry,7306976.44
561,Wayne,919401.81
562,Henry,919401.81
563,Greene,2429579.65
564,Parke,1589284.06
565,Madison,2608968.66
566,Putnam,612072.45
567,Montgomery,612072.45
568,Lake,18029820.93
569,Parke,455389.56
570,Henry,781595.37
571,Knox,43142765.75
572,Parke,2406781.96
573,Clay,2406781.96
574,Vigo,2406781.96
575,Pike,7830522.97
576,Gibson,7830522.97
577,Putnam,384553.05
578,Rush,44632334.41
579,Hancock,44632334.41
580,Miami,715867.85
581,Fulton,715867.85
582,Clay,6323910.75
583,Sullivan,6323910.75
584,Greene,6323910.75
585,Tippecanoe,4993109.59
586,Jennings,3068940.02
587,Jackson,3068940.02
588,Warrick,573189.37
589,Spencer,573189.37
590,Jennings,552723.1
591,Jefferson,552723.1
592,Shelby,3463856.74
593,Allen,19326419.37
594,Noble,6538335.72
595,DeKalb,6538335.72
596,St. Joseph,32312667.74
597,Putnam,799110.66
598,Harrison,382247.4
599,Henry,63470096.26
600,Vigo,11801493.34
601,Sullivan,12132133.59
602,Gibson,16692453.59
603,Spencer,184244.9
604,Perry,3650848.03
605,Crawford,3650848.03
606,Harrison,3650848.03
607,Clay,2526439.24
608,Henry,559409.02
609,Sullivan,3074582.72
610,Wayne,11780941.42
611,Carroll,3419565.1
612,Howard,3419565.1
613,Allen,1432791.53
614,Washington,21768890.01
615,LaGrange,2931370.48
616,Noble,2931370.48
617,Clark,1524352.47
618,Hamilton,14700413.08
619,Marion,14700413.08
620,Hamilton,12670893.71
621,Pulaski,1688134.07
622,Jasper,1688134.07
623,Parke,1058392.82
624,Clay,1058392.82
625,Grant,903574.12
626,Hamilton,16517019.86
627,Pulaski,536039.28
628,Jasper,536039.28
629,Starke,536039.28
630,Putnam,1184298.82
631,Hamilton,561455.02
632,Noble,560776.51
633,Daviess,1029725.25
634,LaGrange,2632358.56
635,Randolph,1887446.56
636,Wells,445765.15
637,Cass,374524.52
638,Allen,2806006.93
639,Noble,2806006.93
640,Whitley,2806006.93
641,Putnam,6993527.76
642,Morgan,6993527.76
643,Owen,6993527.76
644,Montgomery,740225.16
645,Tippecanoe,740225.16
646,Vigo,10511386.83
647,Parke,446220.28
648,St. Joseph,34074443.92
649,Spencer,975079.52
650,Marion,72289261.22
651,Boone,2258929.64
652,Hendricks,2258929.64
653,Delaware,23554025.41
654,Madison,23554025.41
655,Warren,3948919.33
656,DeKalb,606214.06
657,Hamilton,57790302.03
658,Marion,57790302.03
659,Wells,4300756.92
660,Huntington,4300756.92
661,Scott,3504221.4
662,Jefferson,3504221.4
663,Monroe,82414.06
664,Lake,13111688.06
665,Lawrence,994204.84
666,Vanderburgh,4011881.55
667,Gibson,4011881.55
668,Clark,988824.77
669,Knox,724358.41
670,St. Joseph,25160583.63
671,Marshall,25160583.63
672,Perry,3432898.93
673,Hamilton,8335872.85
674,Knox,404023.12
675,Boone,1969824.36
676,Tipton,13759884.5
677,Madison,13759884.5
678,Grant,13759884.5
679,Gibson,1052747.53
680,Bartholomew,1089200.39
681,Shelby,1089200.39
682,Scott,10966920.81
683,Jackson,10966920.81
684,Carroll,798915.04
685,Lake,2569460.37
686,Steuben,3106224.25
687,Daviess,30624245.52
688,Wabash,29543798.24
689,Clark,1103710.51
690,Scott,1103710.51
691,Brown,1206180.62
692,Jackson,1206180.62
693,Miami,2177965.83
694,Kosciusko,2177965.83
695,Fulton,2177965.83
696,Greene,2877019.24
697,Allen,22590993.21
698,Marion,29793674.28
699,Delaware,2021539.71
700,Perry,378403.18
701,Wells,709284.3
702,Jennings,1744875.03
703,Jefferson,1744875.03
704,Washington,2076862.27
705,Orange,2076862.27
706,Vanderburgh,28281034.26
707,LaPorte,1873373.71
708,Kosciusko,2574841.81
709,Washington,470584.1
710,Jackson,470584.1
711,Adams,17724245.47
712,Wells,17724245.47
713,Pulaski,2219065.1
714,Jasper,2219065.1
715,Madison,7022083.0
716,Vanderburgh,57771427.89
717,Noble,2429657.73
718,Kosciusko,2429657.73
719,Pulaski,9466546.7
720,White,9466546.7
721,Marion,31614992.15
722,Lake,29714375.69
723,Decatur,2921788.68
724,Shelby,2921788.68
725,Montgomery,268804.37
726,Clark,5168299.66
727,Washington,5168299.66
728,Floyd,5168299.66
729,Cass,33364370.1
730,Wabash,33364370.1
731,Miami,33364370.1
732,Washington,1835543.01
733,Harrison,1835543.01
734,Adams,7250254.44
735,Perry,13429992.82
736,Hendricks,18406295.06
737,Rush,14214944.21
738,Decatur,14214944.21
739,Franklin,14214944.21
740,Warrick,4644064.1
741,Benton,263073.93
742,Warren,263073.93
743,DeKalb,979036.41
744,Steuben,979036.41
745,Putnam,2949150.09
746,Clay,2949150.09
747,Owen,2949150.09
748,Vermillion,592133.47
749,Benton,393934.31
750,Newton,393934.31
751,Randolph,976993.89
752,Wayne,976993.89
753,Wayne,886823.09
754,Fayette,886823.09
755,Vanderburgh,1001104.21
756,Carroll,415752.65
757,White,415752.65
758,Clark,55708158.28
759,Cass,2408083.59
760,Pulaski,2408083.59
761,White,2408083.59
762,Hancock,1777719.93
763,Henry,1777719.93
764,Tippecanoe,35616506.57
765,Allen,2579839.13
766,Bartholomew,26600031.59
767,Harrison,2328496.88
768,Floyd,2328496.88
769,Elkhart,5183578.18
770,Kosciusko,5183578.18
771,St. Joseph,5183578.18
772,Marshall,5183578.18
773,Ripley,6436745.8
774,Dearborn,6436745.8
775,Brown,35469238.95
776,Bartholomew,35469238.95
777,Jennings,35469238.95
778,Jackson,35469238.95
779,Jennings,853344.14
780,Jefferson,853344.14
781,Jennings,2738295.38
782,Wells,173572.16
783,Sullivan,1813772.78
784,Parke,2770021.38
785,Fountain,2770021.38
786,Allen,16693343.41
787,Carroll,5973090.34
788,Tippecanoe,5973090.34
789,Pulaski,4790742.04
790,Starke,4790742.04
791,Montgomery,969523.18
792,Hamilton,16761643.68
793,Marion,16761643.68
794,Hancock,689195.32
795,Henry,689195.32
796,Pulaski,4642573.51
797,Starke,4642573.51
798,Fulton,4642573.51
799,Marshall,4642573.51
800,LaPorte,1590804.32
801,Starke,1590804.32
802,Harrison,1956714.84
803,Floyd,1956714.84
804,Carroll,2027011.67
805,Tippecanoe,2027011.67
806,White,2027011.67
807,Monroe,44397760.67
808,Lawrence,44397760.67
809,Perry,741495.31
810,Spencer,741495.31
811,DeKalb,562271.15
812,Noble,4140467.6
813,Kosciusko,4140467.6
814,Whitley,4140467.6
815,Vigo,51563883.38
816,Brown,41248033.8
817,Bartholomew,41248033.8
818,Allen,10183284.34
819,Marion,47083047.6
820,Harrison,20524218.5
821,DeKalb,6819984.18
822,Clark,2282104.54
823,Washington,2282104.54
824,Floyd,2282104.54
825,Vanderburgh,45556476.52
826,Jackson,7767359.53
827,Hendricks,10991176.1
828,Martin,3646255.65
829,Fulton,558016.67
830,Marshall,558016.67
831,Martin,970214.82
832,Lawrence,970214.82
833,Greene,6814058.12
834,Clark,33191714.25
835,Randolph,5681421.33
836,Delaware,5681421.33
837,Allen,1676219.12
838,St. Joseph,10510110.16
839,Tipton,33602820.89
840,Howard,33602820.89
841,Johnson,6974786.81
842,Morgan,33942311.4
843,Monroe,33942311.4
844,Johnson,33942311.4
845,Monroe,13819300.44
846,Montgomery,29844774.79
847,Carroll,4239409.88
848,Clinton,4239409.88
849,Union,810941.56
850,Franklin,810941.56
851,Switzerland,878151.14
852,Allen,2947207.57
853,Wells,2947207.57
854,Huntington,2947207.57
855,Whitley,2947207.57
856,Dubois,8201062.27
857,Dubois,580149.9
858,Clinton,405671.21
859,Tipton,405671.21
860,Putnam,674771.39
861,Morgan,674771.39
862,Owen,674771.39
863,Randolph,1123403.3
864,Wayne,1123403.3
865,Shelby,249567.14
866,Spencer,5657605.56
867,Wells,4761477.37
868,Huntington,4761477.37
869,Newton,2416042.21
870,Jasper,2416042.21
871,Allen,3162413.82
872,Noble,3162413.82
873,DeKalb,3162413.82
874,Newton,10232194.92
875,Jasper,10232194.92
876,Dearborn,21128205.61
877,Bartholomew,2403084.22
878,Decatur,2403084.22
879,Jennings,2403084.22
880,Greene,966108.64
881,Harrison,189222.21
882,Blackford,14459021.39
883,Delaware,14459021.39
884,Porter,4190922.89
885,Jasper,4190922.89
886,Lake,4190922.89
887,Bartholomew,5893604.45
888,Decatur,5893604.45
889,Delaware,52084879.74
890,Henry,52084879.74
891,Spencer,1106032.05
892,Boone,634509.13
893,Clinton,634509.13
894,Montgomery,634509.13
895,Posey,1185706.15
896,Lake,28747764.81
897,Hamilton,4622156.29
898,Cass,159631.25
899,Fulton,159631.25
900,Allen,30028384.97
901,Allen,42282679.18
902,Pulaski,1335126.29
903,Starke,1335126.29
904,Fulton,1335126.29
905,Wells,36389536.18
906,Huntington,36389536.18
907,Boone,3123513.94
908,Marion,3123513.94
909,Hendricks,3123513.94
910,Steuben,18435021.41
911,Hamilton,38213804.26
912,Marion,38213804.26
913,Wayne,3020914.03
914,Henry,3020914.03
915,Noble,611241.28
916,DeKalb,611241.28
917,Cass,1473581.4
918,Miami,1473581.4
919,Howard,1473581.4
920,Hancock,39504035.01
921,Marion,39504035.01
922,Vermillion,1446787.41
923,Dubois,6649451.61
924,Orange,6649451.61
925,LaGrange,1661938.74
926,Perry,153718.02
927,Ohio,4754201.35
928,Switzerland,4754201.35
929,Starke,996166.74
930,Marion,45024671.45
931,LaGrange,1560591.46
932,DeKalb,1560591.46
933,Steuben,1560591.46
934,Wabash,12943686.63
935,Kosciusko,12943686.63
936,Whitley,12943686.63
937,Benton,1460854.87
938,Randolph,12186968.42
939,Porter,17250778.89
940,Lake,17250778.89
941,Delaware,1715297.26
942,Henry,1715297.26
943,Clay,745994.28
944,Vigo,745994.28
945,Sullivan,745994.28
946,LaPorte,16288603.84
947,Starke,16288603.84
948,Monroe,2955175.47
949,Lawrence,2955175.47
950,Greene,2955175.47
951,Delaware,47311850.24
952,St. Joseph,14779966.07
953,Monroe,7043841.53
954,Hamilton,28574471.02
955,Marion,37416808.32
956,Kosciusko,1999540.86
957,Harrison,1344368.69
958,Elkhart,12820494.74
959,St. Joseph,12820494.74
960,Clark,640526.02
961,Boone,1754805.59
962,Clinton,1754805.59
963,Tipton,1754805.59
964,Allen,39599801.4
965,Pike,255323.78
966,Dubois,255323.78
967,Clinton,3753406.37
968,Tippecanoe,3753406.37
969,Porter,38118809.45
970,Wabash,2729191.95
971,Kosciusko,2729191.95
972,Fulton,2729191.95
973,Porter,40178488.9
974,Lake,40178488.9
975,Boone,12420191.26
976,Hamilton,12420191.26
977,Marion,12420191.26
978,Hendricks,12420191.26
979,Tippecanoe,25449236.72
980,Gibson,3307360.42
981,Morgan,1904118.16
982,Hendricks,1904118.16
983,Johnson,2433613.41
984,Allen,6169758.32
985,Adams,6169758.32
986,Wells,6169758.32
987,Newton,1580742.7
988,Daviess,7085786.21
989,Martin,7085786.21
990,Carroll,22888961.46
991,Clinton,22888961.46
992,Marion,28948087.18
993,Warren,5649515.55
994,Tippecanoe,5649515.55
995,Fountain,5649515.55
996,Boone,17482262.06
997,Hamilton,17482262.06
998,Gibson,1829219.44
999,Lake,12996909.09
1000,Elkhart,38523630.17
1001,Jay,104123.87
1002,Jay,939886.87
1003,Randolph,2174029.84
1004,Hamilton,13719642.48
1005,Tippecanoe,29548790.94
1006,Lake,41084942.09
1007,Rush,722301.33
1008,Henry,722301.33
1009,Madison,1465590.89
1010,Hancock,1465590.89
1011,Henry,1465590.89
1012,Hendricks,3122121.38
1013,Pulaski,656171.87
1014,White,656171.87
1015,Delaware,2178972.07
1016,Madison,2178972.07
1017,Grant,2178972.07
1018,Wayne,4052975.92
1019,Henry,4052975.92
1020,LaGrange,12051685.93
1021,Steuben,12051685.93
1022,Adams,1012522.06
1023,Allen,13362840.28
1024,Adams,13362840.28
1025,Dearborn,10692081.99
1026,Ohio,10692081.99
1027,Morgan,1966509.14
1028,LaPorte,2066769.5
1029,Noble,17959206.46
1030,DeKalb,17959206.46
1031,Monroe,48186.17
1032,Montgomery,1335882.34
1033,LaPorte,571136.92
1034,Elkhart,18932115.35
1035,Pike,2334932.11
1036,Washington,24115122.76
1037,Scott,24115122.76
1038,Newton,1547504.01
1039,Union,52352371.06
1040,Franklin,52352371.06
1041,Fayette,52352371.06
1042,Hancock,588265.15
1043,Henry,588265.15
1044,Knox,251689.61
1045,Allen,22174894.02
1046,Whitley,22174894.02
1047,Blackford,1005176.5
1048,Jay,1005176.5
1049,Tipton,1312951.92
1050,Howard,1312951.92
1051,Clark,69081205.76
1052,Floyd,69081205.76
1053,Vigo,2043681.09
1054,Sullivan,2043681.09
1055,Allen,37918617.03
1056,LaPorte,7180441.29
1057,St. Joseph,7180441.29
1058,Wells,294907.4
1059,Lake,18007713.48
1060,Martin,89020.54
1061,Lake,9194386.81
1062,DeKalb,3266525.43
1063,Clinton,752000.68
1064,Jasper,4019614.93
1065,Vanderburgh,1041434.0
1066,Warrick,1041434.0
1067,Gibson,1041434.0
1068,St. Joseph,14240080.1
1069,Carroll,386280.24
1070,Elkhart,23058257.04
1071,Noble,818355.41
1072,Whitley,818355.41
1073,Delaware,32046697.13
1074,Pike,10687824.72
1075,Ripley,5382439.8
