,county,TOTAL DOLLAR AMOUNT OF CLAIMS
0,Shelby,908290.59
1,Hancock,908290.59
2,Ripley,8332071.83
3,Dearborn,8332071.83
4,Ohio,8332071.83
5,Johnson,33746323.48
6,Bartholomew,6792930.38
7,Johnson,6792930.38
8,Shelby,6792930.38
9,Adams,1614418.79
10,Wells,1614418.79
11,Jay,1614418.79
12,Noble,1341050.72
13,Putnam,2278934.74
14,Hendricks,2278934.74
15,Wabash,741451.07
16,Miami,741451.07
17,Wayne,856194.68
18,Clay,192455.38
19,Sullivan,383873.21
20,LaGrange,4607414.02
21,Elkhart,4607414.02
22,Putnam,711639.48
23,Morgan,711639.48
24,Hendricks,711639.48
25,Clark,3044235.85
26,Washington,3044235.85
27,Scott,3044235.85
28,Clark,1319333.02
29,Lawrence,12401929.33
30,Lake,21345575.32
31,Dearborn,846537.06
32,Clay,920928.26
33,Owen,920928.26
34,Madison,21190321.93
35,Montgomery,451977.9
36,Brown,6224023.9
37,Morgan,6224023.9
38,Johnson,6224023.9
39,Wells,1591002.89
40,Grant,1591002.89
41,Huntington,1591002.89
42,Washington,3871487.82
43,Harrison,3871487.82
44,Floyd,3871487.82
45,Bartholomew,157104.29
46,Cass,798578.95
47,Spencer,1077383.68
48,Warrick,1331005.63
49,Spencer,1331005.63
50,Clark,10245973.54
51,Floyd,10245973.54
52,Warren,32225976.49
53,Tippecanoe,32225976.49
54,White,32225976.49
55,Wayne,87980229.9
56,Hendricks,25704572.76
57,Hendricks,919584.7
58,Harrison,302549.52
59,Marion,25988829.15
60,Kosciusko,1740577.35
61,Marshall,1740577.35
62,Miami,1584133.08
63,Pike,511864.7
64,Dubois,511864.7
65,Warrick,511864.7
66,Lake,54162162.81
67,Randolph,2324102.32
68,Jay,2324102.32
69,Pulaski,1948376.53
70,Jasper,1948376.53
71,White,1948376.53
72,Grant,3201105.35
73,Marion,18289689.37
74,Fulton,13209489.31
75,Lake,16456564.51
76,St. Joseph,16347981.52
77,Posey,3119145.28
78,Noble,5406406.19
79,Pike,1135130.36
80,Warrick,1135130.36
81,Parke,8450736.13
82,Harrison,3723327.71
83,Franklin,272325.4
84,Posey,20644485.7
85,Vanderburgh,20644485.7
86,Montgomery,215348.47
87,Tippecanoe,215348.47
88,Fountain,215348.47
89,Perry,3748097.49
90,Dubois,3748097.49
91,Spencer,3748097.49
92,Knox,321668.95
93,Marion,64065723.21
94,Allen,19265991.52
95,Madison,1708034.83
96,Brown,9093694.01
97,Bartholomew,9093694.01
98,Monroe,9093694.01
99,Kosciusko,1293446.92
100,Fulton,1293446.92
101,Carroll,51737321.52
102,Cass,51737321.52
103,Franklin,412371.92
104,Warrick,13645539.56
105,Spencer,13645539.56
106,Vigo,22180911.12
107,Marion,14272211.79
108,Pike,599309.46
109,Gibson,599309.46
110,Blackford,40275779.11
111,Wells,40275779.11
112,Grant,40275779.11
113,Huntington,40275779.11
114,Hamilton,9780311.75
115,Cass,1011183.87
116,Wabash,1011183.87
117,Miami,1011183.87
118,Fulton,2828617.38
119,Marshall,2828617.38
120,Lake,22132818.99
121,Clark,13950216.04
122,Clark,5420827.57
123,Floyd,5420827.57
124,Madison,24778912.06
125,Montgomery,1220711.18
126,Fountain,1220711.18
127,Tippecanoe,483634.5
128,Knox,473430.08
129,Randolph,4808676.38
130,Jay,4808676.38
131,Washington,1923670.6
132,Jackson,1923670.6
133,Tipton,1168668.93
134,Hamilton,1168668.93
135,Tipton,8966176.27
136,LaPorte,726554.67
137,Morgan,3891220.59
138,Monroe,3891220.59
139,Owen,3891220.59
140,Vigo,28302331.23
141,Henry,945964.83
142,Union,1622249.05
143,Fayette,1622249.05
144,Boone,26607631.26
145,Madison,9289685.9
146,Hancock,9289685.9
147,Delaware,13595684.5
148,Madison,13595684.5
149,Hancock,3970048.04
150,Hamilton,3970048.04
151,Ripley,189705.06
152,Ohio,189705.06
153,Switzerland,189705.06
154,St. Joseph,10889017.74
155,Benton,182209.61
156,Warren,182209.61
157,Porter,19239888.47
158,Carroll,18819443.39
159,Pulaski,18819443.39
160,White,18819443.39
161,Wayne,929063.7
162,Sullivan,952521.16
163,Benton,4616732.49
164,Warren,4616732.49
165,Hamilton,3776359.84
166,Vanderburgh,1742089.58
167,Gibson,1742089.58
