,county,TOTAL DOLLAR AMOUNT OF CLAIMS
106,Monroe,10845600.54
107,Kosciusko,1643735.0
108,Fulton,1643735.0
109,Carroll,61134576.98
110,Cass,61134576.98
111,Franklin,506101.47
112,Warrick,18200800.19
113,Spencer,18200800.19
114,Vigo,25913893.95
115,Marion,17210973.84
116,Pike,763310.78
117,Gibson,763310.78
118,Blackford,47517718.18
119,Wells,47517718.18
120,Grant,47517718.18
121,Huntington,47517718.18
122,Hamilton,14222245.85
123,Bartholomew,396846.53
124,Decatur,396846.53
125,Cass,1810205.95
126,Wabash,1810205.95
127,Miami,1810205.95
128,Fulton,3524927.62
129,Marshall,3524927.62
130,Lake,23444313.29
131,Clark,16186862.82
132,Clark,7378805.59
133,Floyd,7378805.59
134,Hamilton,4285096.25
135,Madison,28773394.35
136,Montgomery,1564992.87
137,Fountain,1564992.87
138,Tippecanoe,603455.08
139,Knox,460936.27
140,Randolph,6099894.6
141,Jay,6099894.6
142,Washington,2224264.86
143,Jackson,2224264.86
144,Vigo,120789.0
145,Rush,1286556.53
146,Allen,42816471.85
147,LaPorte,986347.44
148,Wabash,5590249.08
149,Grant,5590249.08
150,Huntington,5590249.08
151,Vigo,31819460.2
152,Henry,1075762.37
153,Union,1300002.72
154,Fayette,1300002.72
155,Boone,29983311.45
156,Madison,10242658.63
157,Hancock,10242658.63
158,Delaware,15801374.78
159,Madison,15801374.78
160,Hancock,5525494.11
161,Hamilton,5525494.11
162,Ripley,4060999.32
163,Dearborn,4060999.32
164,Franklin,4060999.32
165,St. Joseph,12856276.31
166,Benton,471625.94
167,Warren,471625.94
168,Porter,24959218.63
169,Carroll,21869141.96
170,Pulaski,21869141.96
171,White,21869141.96
172,Wayne,1685000.22
173,Sullivan,1634205.29
174,Benton,5079592.76
175,Warren,5079592.76
176,Elkhart,4182777.62
177,Kosciusko,4182777.62
178,Vanderburgh,1922472.33
179,Gibson,1922472.33
180,Delaware,3008224.8
181,Porter,3373907.38
182,Parke,28549035.02
183,Clay,28549035.02
184,Vigo,28549035.02
185,Jennings,40277471.79
186,DeKalb,1885331.89
187,Steuben,1885331.89
188,Ripley,398741.11
189,Switzerland,398741.11
190,Jefferson,398741.11
191,Vermillion,1401230.35
192,Marion,13697079.07
193,Hendricks,13697079.07
194,Johnson,482174.71
195,Shelby,482174.71
196,Hendricks,706819.83
197,Ripley,12803741.32
198,Franklin,12803741.32
199,Brown,39741021.48
200,Monroe,39741021.48
201,Harrison,904692.35
202,Boone,1812467.88
203,Union,6824702.2
204,Franklin,6824702.2
205,Monroe,24905400.06
206,Owen,24905400.06
207,Knox,1251170.56
208,Dubois,6941522.87
209,Warrick,6941522.87
210,Spencer,6941522.87
211,Fountain,3042912.42
212,Posey,14187467.11
213,Crawford,1093959.5
214,Crawford,3732481.27
215,Orange,3732481.27
216,Perry,413080.07
217,LaGrange,1506597.18
218,Noble,1506597.18
219,Marion,83964270.7
220,Marion,18596677.18
221,Miami,69232930.1
222,Howard,69232930.1
223,Clay,1505766.93
224,Jennings,504859.72
225,Elkhart,34920442.57
226,Rush,3894124.26
227,Shelby,3894124.26
228,Randolph,1442495.29
229,Delaware,1442495.29
230,Wayne,1442495.29
231,Henry,1442495.29
232,Jefferson,8941996.4
233,DeKalb,9484693.21
234,Dearborn,3166274.51
235,Franklin,3166274.51
236,Vanderburgh,36907507.15
237,Clay,1561017.38
238,Owen,1561017.38
239,Orange,2395386.3
240,Rush,1700009.29
241,Hancock,1700009.29
242,Boone,24615947.77
243,Hendricks,24615947.77
244,Ripley,1509188.83
245,Marion,99999999.99
246,Perry,252846.97
247,Owen,1272879.09
248,Posey,1035907.59
249,Vanderburgh,1035907.59
250,Switzerland,7459251.13
251,Jefferson,7459251.13
252,Vanderburgh,45149764.4
253,Brown,3597156.06
254,Johnson,3597156.06
255,St. Joseph,1831855.05
256,Marshall,1831855.05
257,Morgan,27846628.1
258,Hendricks,27846628.1
259,Porter,18352625.58
260,Lake,18352625.58
261,Marion,25425172.9
262,Hendricks,25425172.9
263,Knox,7777113.19
264,LaPorte,51282193.67
265,Scott,1947228.37
266,Jennings,1947228.37
267,Jefferson,1947228.37
268,Shelby,61665084.21
269,Marion,52177635.2
270,Daviess,2070090.46
271,Marion,14228035.92
272,Rush,3481490.42
273,Henry,3481490.42
274,Dearborn,10013934.98
275,Franklin,10013934.98
276,Marion,73387369.73
277,Perry,1550597.09
278,Crawford,1550597.09
279,Dubois,1550597.09
280,Daviess,4827675.67
281,LaPorte,748704.62
282,Allen,3344396.51
283,Adams,3344396.51
284,Allen,54164918.99
285,Benton,1247612.81
286,Warren,1247612.81
287,Grant,11853675.19
288,Washington,1278680.49
289,Harrison,1278680.49
290,Marion,24223756.6
291,Lake,10586091.97
292,Morgan,3653546.05
293,Crawford,277095.4
294,Elkhart,5465402.57
295,St. Joseph,5465402.57
296,Shelby,5800198.66
297,Hancock,5800198.66
298,Elkhart,49377026.94
299,Grant,3415277.29
300,LaGrange,7408320.76
301,Noble,7408320.76
302,Elkhart,7408320.76
303,Rush,578486.32
304,Fayette,578486.32
305,Noble,1213875.42
306,Posey,554024.53
307,Orange,5750468.88
308,Jennings,2449753.7
309,Switzerland,1158580.51
310,Allen,1487066.56
311,Wells,1487066.56
312,Carroll,344964.17
313,Vigo,294920.41
314,LaPorte,2956528.08
315,St. Joseph,2956528.08
316,Johnson,4949351.6
317,Shelby,4949351.6
318,Marion,4949351.6
319,Allen,866356.33
320,St. Joseph,19108579.29
321,Morgan,16262251.33
322,Marion,16262251.33
323,Hendricks,16262251.33
324,White,801674.5
325,Marion,83129115.13
326,Pulaski,1595291.32
327,Fulton,1595291.32
328,Franklin,1596802.97
329,Perry,482329.5
330,Spencer,482329.5
331,Vermillion,6369895.0
332,Warren,6369895.0
333,Fountain,6369895.0
334,White,496406.67
335,Boone,13421073.87
336,Clinton,13421073.87
337,Hamilton,13421073.87
338,St. Joseph,29729086.45
339,Wabash,1886876.65
340,Miami,1886876.65
341,Warren,858846.66
342,Madison,64025821.56
343,Marion,24896349.58
344,Putnam,3367942.6
345,Lake,11183888.88
346,Steuben,1044626.96
347,Vermillion,17621892.95
348,Vigo,17621892.95
349,Putnam,1359723.99
350,Newton,751453.62
351,Jasper,751453.62
352,Newton,12325402.02
353,Jasper,12325402.02
354,White,12325402.02
355,Daviess,807816.98
356,Marion,2333318.75
357,Blackford,5995088.91
358,Grant,5995088.91
359,Monroe,19942001.74
360,Owen,19942001.74
361,Rush,260645.01
362,Fayette,260645.01
363,Ripley,5714661.42
364,Carroll,2069409.89
365,White,2069409.89
366,Warrick,33844668.04
367,Harrison,6558401.58
368,Floyd,6558401.58
369,Ripley,3135823.5
370,Dearborn,3135823.5
371,Kosciusko,4932374.38
372,Allen,34055439.29
373,Fountain,615154.28
374,Gibson,1609352.48
375,Carroll,2795611.79
376,Clinton,2795611.79
377,Tipton,2795611.79
378,Howard,2795611.79
379,Greene,2658319.3
380,Lake,13326773.77
381,LaGrange,1718744.17
382,Steuben,1718744.17
383,Carroll,538009.29
384,White,538009.29
385,Wabash,1403305.79
386,Rush,595594.98
387,Shelby,595594.98
388,Delaware,131393.23
389,Blackford,3034444.45
390,Wells,3034444.45
391,Jay,3034444.45
392,Monroe,46032775.74
393,Putnam,31155182.45
394,Clinton,214675.82
395,Randolph,4957017.57
396,Delaware,4957017.57
397,Randolph,585818.53
398,Allen,15983125.7
399,Porter,40864004.17
400,Lake,40864004.17
401,Allen,1150423.54
402,DeKalb,1150423.54
403,Marion,50812114.35
404,St. Joseph,35165034.41
405,Wabash,2446358.57
406,Miami,2446358.57
407,Grant,2446358.57
408,Howard,2446358.57
409,Vermillion,555892.43
410,Benton,1989620.34
411,Warren,1989620.34
412,Tippecanoe,1989620.34
413,White,1989620.34
414,Howard,4683295.75
415,Madison,7576829.59
416,Hancock,7576829.59
417,Hamilton,7576829.59
418,Daviess,267134.7
419,Ohio,724522.69
420,Switzerland,724522.69
421,Wabash,2728261.04
422,Huntington,2728261.04
423,Allen,10712672.0
424,Lake,19660061.5
425,Wayne,1686329.39
426,Delaware,7038391.73
427,Benton,1783068.4
428,Jasper,1783068.4
429,Lake,11540537.0
430,Wells,383603.45
431,Porter,5873315.53
432,LaPorte,5873315.53
433,Monroe,1110003.21
434,Lawrence,1110003.21
435,Jackson,1110003.21
436,Vigo,37389023.79
437,Lake,16318757.96
438,Jasper,865090.96
439,White,865090.96
440,Newton,1952087.16
441,Kosciusko,2858082.55
442,Whitley,2858082.55
443,Crawford,909060.97
444,Kosciusko,8768360.09
445,St. Joseph,8768360.09
446,Marshall,8768360.09
447,Pike,25329014.41
448,Dubois,25329014.41
449,Jay,19449517.28
450,Grant,51858774.52
451,Lake,25674366.06
452,Rush,6433174.51
453,Shelby,6433174.51
454,Hancock,6433174.51
455,Elkhart,9844002.19
456,St. Joseph,9844002.19
457,Noble,26915679.27
458,Whitley,26915679.27
459,Benton,2020089.03
460,Newton,2020089.03
461,Jasper,2020089.03
462,Elkhart,8052463.39
463,Kosciusko,8052463.39
464,Hamilton,2941108.43
465,Johnson,42317499.39
466,Rush,635203.43
467,Spencer,314590.8
468,Brown,745651.74
469,Monroe,745651.74
470,Porter,20751372.79
471,St. Joseph,21436143.95
472,Elkhart,1797618.01
473,Porter,60701632.76
474,Tipton,1263595.16
475,Blackford,3283650.84
476,Delaware,3283650.84
477,Greene,18352941.5
478,Marion,66693516.72
479,Blackford,6004603.49
480,Delaware,6004603.49
481,Jay,6004603.49
482,Franklin,5763965.84
483,Fayette,5763965.84
484,Vanderburgh,18353089.57
485,St. Joseph,33230330.92
486,Clinton,827420.62
487,Tippecanoe,827420.62
488,Lake,16334114.8
489,Harrison,2586150.74
490,Floyd,2586150.74
491,Ripley,34294974.59
492,Switzerland,34294974.59
493,Jefferson,34294974.59
494,Orange,18639346.93
495,Kosciusko,35347873.51
496,Delaware,13603186.55
497,Randolph,1712781.99
498,Jay,1712781.99
499,Lake,13958557.79
500,Porter,66945397.37
501,LaPorte,66945397.37
502,Crawford,200420.16
503,Wells,638954.28
504,Pike,1292375.79
505,Dubois,1292375.79
506,Perry,4703034.64
507,Crawford,4703034.64
508,Orange,4703034.64
509,Bartholomew,3781926.31
510,Jennings,3781926.31
511,Porter,990463.06
512,LaPorte,990463.06
513,Starke,990463.06
514,Madison,1935511.2
515,Elkhart,10446499.19
516,Montgomery,805915.06
517,Tippecanoe,805915.06
518,Crawford,2709032.06
519,Washington,2709032.06
520,Washington,2251425.04
521,Orange,2251425.04
522,Harrison,2251425.04
523,Marion,91659312.9
524,Warrick,1036915.24
525,Spencer,1036915.24
526,Jennings,1106121.54
527,Jefferson,1106121.54
528,Wayne,264309.78
529,Shelby,4784486.49
530,Marion,28649604.06
531,St. Joseph,38933529.22
532,Dubois,397982.99
533,Wabash,586408.73
534,Perry,486432.99
535,Monroe,1195517.1
536,Lawrence,1195517.1
537,Johnson,49403061.41
538,Shelby,49403061.41
539,Wayne,1209595.05
540,Henry,1209595.05
541,Posey,881856.79
542,Knox,2071687.33
543,Ripley,30605008.46
544,Decatur,30605008.46
545,Franklin,30605008.46
546,Daviess,1298302.96
547,Madison,2994332.69
548,Putnam,1667387.79
549,Montgomery,1667387.79
550,Marion,45630767.78
551,Parke,696515.18
552,LaGrange,1338311.96
553,Elkhart,1338311.96
554,Knox,48554626.03
555,Parke,2928202.04
556,Clay,2928202.04
557,Vigo,2928202.04
558,Pike,8894189.04
559,Gibson,8894189.04
560,Allen,20439201.22
561,DeKalb,20439201.22
562,Spencer,304536.18
563,Marion,18568693.13
564,Harrison,760153.86
565,Allen,20665579.25
566,Parke,442684.81
567,Kosciusko,2281311.96
568,Steuben,4540075.45
569,Washington,25990156.97
570,LaGrange,4498299.39
571,Noble,4498299.39
572,Hamilton,18545379.51
573,Marion,18545379.51
574,LaPorte,8646494.87
575,Starke,8646494.87
576,St. Joseph,8646494.87
577,Marshall,8646494.87
578,Marion,79248826.23
579,Pulaski,2441886.89
580,Jasper,2441886.89
581,Rush,136019.78
582,Parke,1344787.39
583,Clay,1344787.39
584,Putnam,1344680.9
585,Kosciusko,2570280.11
586,Marshall,2570280.11
587,Delaware,8645798.0
588,Madison,8645798.0
589,Henry,8645798.0
590,Greene,3535775.27
591,Parke,1949942.76
592,Vigo,14430507.46
593,Sullivan,14268856.84
594,Perry,3174328.69
595,Crawford,3174328.69
596,Harrison,3174328.69
597,Allen,6282936.52
598,Henry,575706.35
599,Kosciusko,177834.68
600,Brown,4324421.93
601,Johnson,4324421.93
602,Miami,1204074.39
603,Fulton,1204074.39
604,Clay,8106681.43
605,Sullivan,8106681.43
606,Greene,8106681.43
607,Tippecanoe,6642022.53
608,Jennings,4174750.91
609,Jackson,4174750.91
610,Vanderburgh,69055804.13
611,Boone,3010038.83
612,Hendricks,3010038.83
613,Delaware,28580150.63
614,Madison,28580150.63
615,Allen,24835017.91
616,Noble,7409893.66
617,DeKalb,7409893.66
618,DeKalb,896678.68
619,Wells,5415257.84
620,Huntington,5415257.84
621,Grant,1503446.07
622,Harrison,726674.53
623,Pulaski,924402.29
624,Jasper,924402.29
625,Starke,924402.29
626,Lawrence,1950744.33
627,Kosciusko,12956348.79
628,Henry,72304044.47
629,Noble,859762.52
630,LaGrange,3040048.09
631,St. Joseph,32199155.65
632,Marshall,32199155.65
633,Gibson,20125875.93
634,Perry,3933307.13
635,Henry,1056136.82
636,Knox,457014.54
637,Cass,576802.52
638,Allen,1701587.76
639,Rush,52854484.44
640,Hancock,52854484.44
641,Wayne,14590952.03
642,Carroll,3599556.65
643,Howard,3599556.65
644,Allen,2179809.32
645,Spencer,877265.39
646,Carroll,898267.7
647,White,898267.7
648,Daviess,38376705.22
649,Wabash,37343675.71
650,Clark,2730598.77
651,Hamilton,19288448.15
652,Scott,4478014.89
653,Jefferson,4478014.89
654,Lake,17607649.38
655,Hamilton,935707.01
656,Knox,1081880.45
657,Wells,678842.06
658,Randolph,2409374.86
659,Hendricks,26591330.07
660,Clay,3043708.06
661,Washington,2316780.67
662,Orange,2316780.67
663,Boone,2623777.69
664,Tipton,17970905.67
665,Madison,17970905.67
666,Grant,17970905.67
667,Putnam,488923.05
668,Montgomery,1013641.07
669,Tippecanoe,1013641.07
670,Vigo,13879917.12
671,Benton,414297.74
672,Newton,414297.74
673,Vanderburgh,1489021.51
674,Harrison,2290692.39
675,Floyd,2290692.39
676,Clark,1427711.42
677,Scott,1427711.42
678,Brown,1751577.1
679,Jackson,1751577.1
680,Warren,5664274.41
681,Hamilton,70723168.99
682,Marion,70723168.99
683,Decatur,2491980.04
684,Shelby,2491980.04
685,Hamilton,21499093.63
686,Marion,41110447.32
687,Clark,1285592.8
688,Perry,685679.86
689,Adams,8528879.8
690,Sullivan,3030674.69
691,Vanderburgh,36254735.19
692,LaPorte,2146301.67
693,Sullivan,3759789.87
694,Putnam,8976959.2
695,Morgan,8976959.2
696,Owen,8976959.2
697,Kosciusko,2655000.27
698,Bartholomew,1278256.23
699,Shelby,1278256.23
700,Scott,13931382.99
701,Jackson,13931382.99
702,Pulaski,5300475.45
703,Starke,5300475.45
704,Fulton,5300475.45
705,Marshall,5300475.45
706,St. Joseph,41241549.4
707,Lake,3978760.12
708,Clark,68708271.04
709,Cass,1793480.21
710,Pulaski,1793480.21
711,White,1793480.21
712,Pulaski,11565446.55
713,White,11565446.55
714,Miami,2879084.11
715,Kosciusko,2879084.11
716,Fulton,2879084.11
717,Allen,3955967.75
718,Greene,2954320.48
719,Montgomery,397806.66
720,Monroe,93578.67
721,DeKalb,7603837.7
722,Putnam,1877769.33
723,Jennings,3161875.68
724,Perry,14984649.49
725,Clark,3342933.16
726,Washington,3342933.16
727,Floyd,3342933.16
728,Vanderburgh,56845045.83
729,Hamilton,12275769.75
730,Parke,3405007.58
731,Fountain,3405007.58
732,Warrick,5849296.08
733,Benton,318227.45
734,Warren,318227.45
735,Allen,3620980.12
736,Noble,3620980.12
737,Whitley,3620980.12
738,Gibson,1179366.17
739,Putnam,4029512.76
740,Clay,4029512.76
741,Owen,4029512.76
742,Washington,960447.89
743,Jackson,960447.89
744,Adams,20966507.99
745,Wells,20966507.99
746,Martin,1454190.81
747,Lawrence,1454190.81
748,Carroll,1038579.72
749,Madison,8983329.69
750,Dubois,833884.31
751,Carroll,2140293.68
752,Tippecanoe,2140293.68
753,White,2140293.68
754,Noble,3366504.06
755,Kosciusko,3366504.06
756,Hancock,2066661.63
757,Henry,2066661.63
758,Tippecanoe,46535155.76
759,Marion,39099632.54
760,Noble,4630465.59
761,Kosciusko,4630465.59
762,Whitley,4630465.59
763,Lake,33183895.63
764,Brown,50856606.25
765,Bartholomew,50856606.25
766,Harrison,2176260.22
767,Floyd,2176260.22
768,Allen,28345218.98
769,Vanderburgh,5372742.16
770,Gibson,5372742.16
771,Wells,217748.0
772,Johnson,10411106.74
773,Jennings,1829925.53
774,Jefferson,1829925.53
775,Hendricks,15638652.76
776,Allen,22713977.02
777,Carroll,7028401.91
778,Tippecanoe,7028401.91
779,Hamilton,21052096.59
780,Marion,21052096.59
781,Vermillion,938003.12
782,Allen,3098073.64
783,Wells,3098073.64
784,Huntington,3098073.64
785,Whitley,3098073.64
786,Pulaski,2383515.26
787,Jasper,2383515.26
788,Wayne,1190892.77
789,Fayette,1190892.77
790,Hamilton,5164198.17
791,Greene,475372.8
792,Perry,1066913.2
793,Spencer,1066913.2
794,DeKalb,1164996.56
795,Bartholomew,31531889.13
796,Allen,16031762.09
797,Clark,5972750.35
798,Washington,5972750.35
799,Floyd,5972750.35
800,Ripley,8850965.0
801,Dearborn,8850965.0
802,Bartholomew,3429607.0
803,Decatur,3429607.0
804,Jennings,3429607.0
805,Washington,2003923.7
806,Harrison,2003923.7
807,Rush,16916797.01
808,Decatur,16916797.01
809,Franklin,16916797.01
810,Morgan,44164043.23
811,Monroe,44164043.23
812,Johnson,44164043.23
813,Martin,4556403.39
814,DeKalb,1698198.03
815,Steuben,1698198.03
816,Hancock,1015058.7
817,Henry,1015058.7
818,Posey,1264828.47
819,Randolph,1339954.83
820,Wayne,1339954.83
821,LaPorte,1720970.58
822,Starke,1720970.58
823,Wabash,14899317.89
824,Kosciusko,14899317.89
825,Whitley,14899317.89
826,Clark,37731949.16
827,Putnam,1113227.25
828,Morgan,1113227.25
829,Owen,1113227.25
830,Monroe,53694956.41
831,Lawrence,53694956.41
832,Randolph,6972931.26
833,Delaware,6972931.26
834,Allen,2375306.41
835,Wells,4993166.06
836,Huntington,4993166.06
837,Vigo,64055276.87
838,St. Joseph,11702950.4
839,Elkhart,6006297.68
840,Kosciusko,6006297.68
841,St. Joseph,6006297.68
842,Marshall,6006297.68
843,Harrison,25201103.42
844,Cass,2494514.92
845,Miami,2494514.92
846,Howard,2494514.92
847,Delaware,2226778.31
848,Jennings,1092601.53
849,Jefferson,1092601.53
850,Porter,6228384.12
851,Jasper,6228384.12
852,Lake,6228384.12
853,Monroe,18740715.71
854,Montgomery,37579232.79
855,Montgomery,1300342.59
856,Starke,1407177.65
857,Greene,8755418.74
858,Clinton,1060459.03
859,Tipton,1060459.03
860,Allen,39465374.57
861,Shelby,415921.62
862,Spencer,6833048.57
863,Boone,4056263.36
864,Marion,4056263.36
865,Hendricks,4056263.36
866,Allen,3711808.17
867,Noble,3711808.17
868,DeKalb,3711808.17
869,Newton,13918817.13
870,Jasper,13918817.13
871,Marion,61249043.01
872,Tipton,41178677.15
873,Howard,41178677.15
874,Cass,39470905.95
875,Wabash,39470905.95
876,Miami,39470905.95
877,Vermillion,2546968.35
878,Jackson,8893578.77
879,Dubois,8975283.6
880,Orange,8975283.6
881,Bartholomew,6376212.54
882,Decatur,6376212.54
883,Delaware,62487502.59
884,Henry,62487502.59
885,Pulaski,6591402.9
886,Starke,6591402.9
887,Spencer,1549237.7
888,Dubois,10646073.54
889,Cass,412419.56
890,Fulton,412419.56
891,Benton,2440250.26
892,Randolph,1055653.71
893,Wayne,1055653.71
894,Pulaski,1593963.75
895,Starke,1593963.75
896,Fulton,1593963.75
897,Wells,41298815.59
898,Huntington,41298815.59
899,Clay,494627.15
900,Vigo,494627.15
901,Sullivan,494627.15
902,Newton,3691428.42
903,Jasper,3691428.42
904,Hamilton,42062642.35
905,Marion,42062642.35
906,Wayne,3061477.01
907,Henry,3061477.01
908,Noble,562367.15
909,DeKalb,562367.15
910,St. Joseph,18097070.12
911,Brown,41451900.76
912,Bartholomew,41451900.76
913,Jennings,41451900.76
914,Jackson,41451900.76
915,Hamilton,37013975.79
916,Kosciusko,2020492.54
917,LaGrange,2624813.03
918,Perry,149181.03
919,Fulton,913907.91
920,Marshall,913907.91
921,Union,893267.33
922,Franklin,893267.33
923,Switzerland,1085525.13
924,Lake,24338976.25
925,Madison,2118701.18
926,Hancock,2118701.18
927,Henry,2118701.18
928,Allen,52036870.2
929,Porter,17731643.45
930,Lake,17731643.45
931,Delaware,2833559.71
932,Henry,2833559.71
933,Wabash,3087650.02
934,Kosciusko,3087650.02
935,Fulton,3087650.02
936,Steuben,25208544.95
937,Monroe,4029232.94
938,Lawrence,4029232.94
939,Greene,4029232.94
940,Dearborn,25684354.48
941,Delaware,54101902.28
942,Greene,1074449.21
943,Gibson,4339916.02
944,Blackford,16164541.26
945,Delaware,16164541.26
946,Johnson,3984338.98
947,Perry,291915.68
948,Carroll,4741056.79
949,Clinton,4741056.79
950,Boone,753901.61
951,Clinton,753901.61
952,Montgomery,753901.61
953,Marion,58213279.21
954,LaGrange,1893751.74
955,DeKalb,1893751.74
956,Steuben,1893751.74
957,Monroe,70581.81
958,Allen,52151659.95
959,Pike,555840.14
960,Dubois,555840.14
961,Randolph,15967340.19
962,Porter,46227565.41
963,LaPorte,18740588.21
964,Starke,18740588.21
965,Porter,51266424.65
966,Lake,51266424.65
967,Boone,14276459.33
968,Hamilton,14276459.33
969,Marion,14276459.33
970,Hendricks,14276459.33
971,Lake,15562825.41
972,Hancock,48062919.74
973,Marion,48062919.74
974,Dearborn,13398783.68
975,Ohio,13398783.68
976,Allen,7021856.23
977,Adams,7021856.23
978,Wells,7021856.23
979,Perry,125371.71
980,Ohio,5189869.95
981,Switzerland,5189869.95
982,Carroll,28470845.51
983,Clinton,28470845.51
984,Clark,500745.67
985,Boone,1827494.92
986,Clinton,1827494.92
987,Tipton,1827494.92
988,Union,62962890.93
989,Franklin,62962890.93
990,Fayette,62962890.93
991,Warren,7522642.2
992,Tippecanoe,7522642.2
993,Fountain,7522642.2
994,Clinton,4919774.94
995,Tippecanoe,4919774.94
996,Gibson,2575573.87
997,Delaware,3063076.71
998,Madison,3063076.71
999,Grant,3063076.71
1000,Adams,1008186.59
1001,Monroe,8833515.95
1002,Marion,44121167.37
1003,Jay,1129873.28
1004,Harrison,1413999.12
1005,Tippecanoe,42038225.22
1006,Elkhart,15824824.6
1007,St. Joseph,15824824.6
1008,Marion,33834529.34
1009,Clark,82985210.22
1010,Floyd,82985210.22
1011,Boone,21173609.88
1012,Hamilton,21173609.88
1013,Pulaski,1267756.37
1014,White,1267756.37
1015,Wayne,5359667.75
1016,Henry,5359667.75
1017,LaGrange,13916369.72
1018,Steuben,13916369.72
1019,Tippecanoe,33066338.35
1020,Knox,783067.29
1021,Morgan,3010089.25
1022,Hendricks,3010089.25
1023,Morgan,3205741.03
1024,Daviess,9317219.45
1025,Martin,9317219.45
1026,LaPorte,1267996.51
1027,Rush,736091.18
1028,Henry,736091.18
1029,Hendricks,3610651.16
1030,LaPorte,717728.03
1031,Elkhart,48618904.5
1032,Jay,240444.4
1033,Pike,2580518.56
1034,Randolph,2881459.78
1035,Newton,2470049.11
1036,Hamilton,18610259.61
1037,Lake,50610828.17
1038,Noble,24041158.42
1039,DeKalb,24041158.42
1040,Clinton,1135237.35
1041,Montgomery,1835829.49
1042,LaPorte,10162411.42
1043,St. Joseph,10162411.42
1044,Allen,18693216.42
1045,Adams,18693216.42
1046,Jasper,5509299.95
1047,Allen,26564189.39
1048,Whitley,26564189.39
1049,Washington,32236917.36
1050,Scott,32236917.36
1051,Tipton,1599255.43
1052,Howard,1599255.43
1053,Newton,2048664.39
1054,Allen,48716566.92
1055,Lake,12721068.87
1056,Elkhart,22455633.28
1057,Carroll,611705.09
1058,Lake,28091560.64
1059,Blackford,1724534.47
1060,Jay,1724534.47
1061,Martin,212200.71
1062,Vigo,2549672.68
1063,Sullivan,2549672.68
1064,Hancock,641489.29
1065,Henry,641489.29
1066,DeKalb,3690048.66
1067,Wells,408869.12
1068,Vanderburgh,1741595.48
1069,Warrick,1741595.48
1070,Gibson,1741595.48
1071,Elkhart,28656777.54
1072,St. Joseph,18441689.39
1073,Noble,895361.11
1074,Whitley,895361.11
1075,Delaware,39544038.33
1076,Pike,12677968.93
1077,Ripley,6963723.99
