,county,TOTAL DOLLAR AMOUNT OF CLAIMS
0,Shelby,1450785.8
1,Hancock,1450785.8
2,Ripley,8857445.41
3,Dearborn,8857445.41
4,Ohio,8857445.41
5,Johnson,50470956.8
6,Bartholomew,10473920.7
7,Johnson,10473920.7
8,Shelby,10473920.7
9,Adams,2008837.32
10,Wells,2008837.32
11,Jay,2008837.32
12,Noble,1917413.74
13,Kosciusko,2215443.92
14,Marshall,2215443.92
15,Putnam,2959374.99
16,Hendricks,2959374.99
17,Wabash,1022208.86
18,Miami,1022208.86
19,Wayne,776639.4
20,Clay,310801.22
21,Sullivan,791093.15
22,LaGrange,4646495.69
23,Elkhart,4646495.69
24,Putnam,576980.91
25,Morgan,576980.91
26,Hendricks,576980.91
27,Clark,4508415.11
28,Washington,4508415.11
29,Scott,4508415.11
30,Clark,1488628.97
31,Lawrence,14444069.46
32,Lake,28059014.13
33,Dearborn,1262019.05
34,Clay,1040007.97
35,Owen,1040007.97
36,Madison,28411293.57
37,Montgomery,607206.05
38,Brown,8195372.11
39,Morgan,8195372.11
40,Johnson,8195372.11
41,Wells,1886947.73
42,Grant,1886947.73
43,Huntington,1886947.73
44,Washington,4819724.99
45,Harrison,4819724.99
46,Floyd,4819724.99
47,Bartholomew,213693.22
48,Cass,1261600.75
49,Spencer,1461959.9
50,Warrick,657128.63
51,Spencer,657128.63
52,Clark,13944602.88
53,Floyd,13944602.88
54,Warren,36382632.86
55,Tippecanoe,36382632.86
56,White,36382632.86
57,Wayne,99999999.99
58,Hendricks,33494670.52
59,Hendricks,948454.41
60,Marion,85488455.23
61,Marion,31153404.53
62,Tipton,1669970.66
63,Hamilton,1669970.66
64,Miami,2246217.65
65,Madison,4484093.54
66,Pike,641971.19
67,Dubois,641971.19
68,Warrick,641971.19
69,Lake,63890774.75
70,Randolph,2684931.95
71,Jay,2684931.95
72,Pulaski,2642199.12
73,Jasper,2642199.12
74,White,2642199.12
75,Grant,4720423.36
76,Marion,23859861.02
77,Fulton,18451180.38
78,Ripley,358255.43
79,Ohio,358255.43
80,Switzerland,358255.43
81,Lake,16367948.27
82,St. Joseph,19024956.87
83,Posey,4026934.6
84,Noble,6403814.44
85,Pike,1468056.02
86,Warrick,1468056.02
87,Parke,10241247.51
88,Harrison,4258029.79
89,Franklin,844159.21
90,Posey,23793745.78
91,Vanderburgh,23793745.78
92,Montgomery,386145.28
93,Tippecanoe,386145.28
94,Fountain,386145.28
95,Perry,4661561.64
96,Dubois,4661561.64
97,Spencer,4661561.64
98,Knox,611977.01
99,Allen,25092252.5
100,Tipton,10600115.35
101,Morgan,4197300.87
102,Monroe,4197300.87
103,Owen,4197300.87
104,Brown,10845600.54
105,Bartholomew,10845600.54
