,county,TOTAL DOLLAR AMOUNT OF CLAIMS
249,Porter,16175583.18
250,Lake,16175583.18
251,Marion,20258785.7
252,Hendricks,20258785.7
253,Randolph,1376008.98
254,Delaware,1376008.98
255,Wayne,1376008.98
256,Henry,1376008.98
257,Scott,1562893.07
258,Jennings,1562893.07
259,Jefferson,1562893.07
260,Carroll,205325.71
261,Marion,46741830.39
262,Daviess,1371176.82
263,Marion,13824683.88
264,Rush,3206305.82
265,Henry,3206305.82
266,Perry,913545.11
267,Crawford,913545.11
268,Dubois,913545.11
269,Daviess,4153111.86
270,Knox,992013.84
271,Vanderburgh,30786058.63
272,Allen,47720112.73
273,Benton,1000379.62
274,Warren,1000379.62
275,Grant,10707061.92
276,Washington,1093679.9
277,Harrison,1093679.9
278,Marion,21356943.28
279,Lake,7977532.29
280,Crawford,183717.32
281,Elkhart,5167203.62
282,St. Joseph,5167203.62
283,Posey,1022191.85
284,Vanderburgh,1022191.85
285,Elkhart,53555561.0
286,Grant,2493322.1
287,LaGrange,6877506.44
288,Noble,6877506.44
289,Elkhart,6877506.44
290,Rush,688392.41
291,Fayette,688392.41
292,Morgan,24196533.22
293,Hendricks,24196533.22
294,Posey,510774.42
295,Orange,5609873.39
296,Knox,6422318.27
297,LaPorte,44737045.75
298,Allen,1056650.7
299,Wells,1056650.7
300,Daviess,694242.97
301,Vigo,280239.33
302,LaPorte,2709770.4
303,St. Joseph,2709770.4
304,Dearborn,8902750.72
305,Franklin,8902750.72
306,Marion,63152066.43
307,St. Joseph,16711342.32
308,LaPorte,724195.11
309,Allen,2929227.95
310,Adams,2929227.95
311,Marion,76453476.3
312,Perry,425540.43
313,Spencer,425540.43
314,Vermillion,5848160.52
315,Warren,5848160.52
316,Fountain,5848160.52
317,Morgan,2616400.29
318,Boone,12711677.09
319,Clinton,12711677.09
320,Hamilton,12711677.09
321,St. Joseph,25811112.94
322,Shelby,5458451.08
323,Hancock,5458451.08
324,Wabash,1160855.43
325,Miami,1160855.43
326,Warren,901289.32
327,Marion,21384197.36
328,Noble,699304.97
329,Lake,9462709.0
330,Vermillion,17560653.31
331,Vigo,17560653.31
332,Jennings,1914537.62
333,Switzerland,1152168.87
334,Newton,10517975.78
335,Jasper,10517975.78
336,White,10517975.78
337,Putnam,26177077.24
338,Marion,1944186.68
339,Blackford,4680766.38
340,Grant,4680766.38
341,Johnson,4476840.0
342,Shelby,4476840.0
343,Marion,4476840.0
344,Ripley,5017391.71
345,Allen,407085.53
346,Warrick,28111109.42
347,Morgan,13606089.03
348,Marion,13606089.03
349,Hendricks,13606089.03
