Year,AMERICAN_INDIAN_OR_ALASKAN_NATIVE,ASIAN_OR_PACIFIC_ISLANDER,BLACK,BLACK_NON_HISPANIC,CAUCASIAN,HISPANIC,NOT_AVAILABLE,NOT_PROVIDED,WHITE_NON_HISPANIC
2016,9532628,84431967,790334766,282991,6763407556,387497407,146116654,1603817,13966827
2015,7636449,65234748,697763845,326533,5950574842,333593079,118893471,5296419,11927261
2014,6634109,53507864,1197549383,189329,5483475599,298605212,103075644,113699,8844178
2013,5797240,46511865,1073564031,424664,5092165606,263631784,93250583,142183,6075344
2012,5237827,36283684,988072140,131574,4901766829,244432124,88893597,272207,5318598
